S.No,Problem Statements (PS) attempted by teams,Total number of teams Participated against each PS,Total number of teams Selected against each PS
1,"SIH26001 - AI-Based early warning and landslide Risk Monitoring System in NER",5,2
2,"SIH26002 - Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER)",3,1
3,"SIH26003 - AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER)",4,3
4,"SIH26005 - Solar-Powered Smart Mini Cold Storage System for Fresh Vegetables in North Eastern Region (NER)",2,2
5,"SIH26006 - Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India",3,2
6,"SIH26008 - Belt Joint Rupture and Conveyor Belt Damages in Iron Ore Mining Industry: Intelligent Monitoring and Prediction of Conveyor Belt Joint Rupture and Damages in Iron Ore Mining Industry.",1,1
7,"SIH26009 - Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.",2,2
8,"SIH26011 - 3D ULPIN Generation and vertical Property Mapping SYstem",1,1
9,"SIH26012 - AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery",3,3
10,"SIH26017 - Predictive Analytics System for Early Detection of Land Acquisition Delays",2,2
11,"SIH26018 - Intelligent Land Record Digitization and Validation System",1,1
12,"SIH26024 - AI-Based Smart Governance and Compliance Monitoring System for Coal Mines",1,1
13,"SIH26026 - Development of Mobile (Quadruped)/Handheld Device/System for Real-Time Detection of Narcotics and Explosives across Indian Railways.",1,1
14,"SIH26028 - Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains",2,2
15,"SIH26032 - Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.",1,1
16,"SIH26033 - Multiple intermediaries reduce farmers earnings and increase consumer prices.",1,1
17,"SIH26037 - Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads",5,3
18,"SIH26041 - AR-Based Vocational Training Simulator for Industrial Safety in Jharkhand's Mining & Manufacturing Sector",1,1
19,"SIH26044 - Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement",1,1
20,"SIH26051 - Software Based Model Development for Design of Area Specific Shelter for Thermal Comfort Maintenance.",1,1
21,"SIH26069 - National Weather Big Data Analytics Platform",1,1
22,"SIH26083 - Extreme Heatwave Early Warning and Human Thermal Stress Index",1,1
23,"SIH26085 - Urban Flood Nowcasting System (Drainage and Rainfall Coupling)",1,1
24,"SIH26088 - Multilingual Cooperative Governance & Legal Assistance Chatbot",2,1
25,"SIH26089 - Cooperative Gig Services Platform for Household & Community Services",1,1
26,"SIH26090 - AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans",3,3
27,"SIH26091 - AI-Driven Hyper-Local Business Advisory and Financial Structuring Assistant for Rural Micro-Entrepreneurs",1,1
28,"SIH26092 - AI-Driven Scheme Matching for Marginalized Entrepreneurs",1,1
29,"SIH26094 - AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities",1,1
30,"SIH26099 - AI-Driven Standardization and Harmonization of Material Codes Across CPSEs",1,1
31,"SIH26101 - Develop an AI enabled learning platform that identifies competency gaps, recommends personalized training through integration with the iGOT Karmayogi ecosystem, and capable of generating Quizzes and Multiple choice questions (MCQs) from uploaded learning materials to strengthen capacity building in India's Official Statistical System.",1,1
32,"SIH26102 - Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.",1,1
33,"SIH26104 - AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks",9,5
34,"SIH26105 - AI-Powered Continuous Cyber Risk Quantification and Investment Optimization Platform",1,1
35,"SIH26106 - AI-Powered Email Threat Detection, GeoLocation and Forensic Intelligence Platform",5,3
36,"SIH26109 - Al-Based Predictive Modelling for Early Forecasting of Bovine Mastitis in lndian Dairy Farms",1,1
37,"SIH26111 - Smart Al-Enabled Rapid Feed and Silage Quality Testing System for Dairy Farmers",1,1
38,"SIH26113 - Human augmentation technologies are transforming healthcare,rehabilitation, industrial ergonomics, assistive living, sports, and personal mobility by improving human capabilities and enhancing quality of life.",1,1
39,"SIH26114 - Smart City Site Planning using Autodesk Forma Site Design",2,1
40,"SIH26117 - Sovereign On-Premise Agentic AI Workbench using Open-Weight Multimodal LLMs for Confidential Industrial Work",2,1
41,"SIH26122 - Intelligent Data Capture & Schedule-Linking Layer for Infrastructure Project Management: Real-Time Actual Progress Tracking (Planning-to-Execution Bridge)",1,1
42,"SIH26124 - AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet",3,1
43,"SIH26127 - City-Wide AI Engine for Multi-Camera ANPR Trajectory Tracking and Urban Traffic Analytics",2,2
44,"SIH26131 - Early detection and management of crop disease and pest infections",2,2
45,"SIH26132 - Strengthening market linkages and price discovery for farmers",1,1
46,"SIH26133 - Accessibility and quality of public healthcare services,particularly in rural and underserved areas",2,2
47,"SIH26140 - AI-Based Interactive Quantum Algorithm Learning Platform",3,3
48,"SIH26141 - Quantum-Inspired Cyber Threat Detection for Digital Signature Security",2,2
49,"SIH26142 - Deep Learning Based Super Resolution Mapping (SRM) from Medium Resolution Satellite Imageries",1,1
50,"SIH26148 - Creation of scripts/functions with new programming language to commence Computer & Network forensic analysis without triggering security solutions",1,1
51,"SIH26149 - Design and Development of an Integrated Secure Data Erasure and Advanced File Recovery Tool for Digital Forensics and Data Sanitization",1,1
52,"SIH26151 - Dark web threat actor de-anonymization",2,1
53,"SIH26153 - AI based Network Attack Forecasting from Network Traffic Data",2,2
54,"SIH26154 - Gen AI Platform for Automated Content Transformation",1,1
55,"SIH26156 - Universal Log Pre-processing Framework",3,2
56,"SIH26158 - Single-Pass Drone Video to Accurate 3D Model Generation System",1,1
57,"SIH26160 - AI-Powered IPsec VPN Protocol Analyzer and Security Assessment Framework",2,2
58,"SIH26166 - Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)",1,1
59,"SIH26174 - AI Human Activity Recognition for On-board BAS Experiments",2,2
60,"SIH26177 - A deployable AI-powered autonomous drone that aids search-and-rescue operations by detecting people and hazards, thereby improving responder safety and reducing victim discovery time.",2,2
61,"SIH26183 - Real-Time Identification of Fraud-Linked Cryptocurrency Exchanges from Victim-Reported Suspect Wallet Addresses through Automated Blockchain Analytics",2,1
62,"SIH26187 - AI-Based Intelligent Video Analytics Platform for Border Surveillance using existing CCTV Infrastructure.",1,1
63,"SIH26188 - Al-Based Fake Identity & Document Screening System",2,2
64,"SIH26189 - AI-Powered Criminal Network Analysis System",3,3
65,"SIH26190 - Secure Digital Document Management System for Legal and Investigation Documents",2,1
66,"SIH26194 - Student Innovation",2,2
67,"SIH26198 - Student Innovation",1,1
68,"SIH26199 - Student Innovation",2,1
69,"SIH26201 - Student Innovation",4,4
70,"SIH26202 - Student Innovation",1,1
71,"SIH26203 - Student Innovation",4,4
72,"SIH26204 - Student Innovation",1,1
73,"SIH26205 - Student Innovation",5,4
74,"SIH26206 - Student Innovation",1,1
75,"SIH26209 - Autonomous Edge-AI & Real-Time Threat Intelligence System",2,2
76,"SIH26210 - Next-Generation Cloud-Edge Collaborative Framework",1,1
77,"SIH26211 - Student Innovation",4,3
78,"SIH26212 - Student Innovation",1,1
79,"SIH26213 - Student Innovation",1,1
80,"SIH26221 - Student Innovation",1,1
81,"SIH26222 - Student Innovation",1,1
82,"SIH26224 - Student Innovation",2,2
Total,Total Across All Problem Statements,157,130
